section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5
education,TRUE,"M.S., Biomedical Engineering",Drexel University,"Philadelphia, PA",2013,2015,NA,NA,NA,NA,NA
education,TRUE,Graduate Certificate in Engineering Management,Drexel University,"Philadelphia, PA",2013,2015,NA,NA,NA,NA,NA
education,TRUE,"B.S., Mechanical Engineering",Drexel University,"Philadelphia, PA",2010,2015,NA,NA,NA,NA,NA
industry_positions,TRUE,Data Scientist II,[Children's Hospital of Philadelphia - Cell & Gene Therapy Laboratory](https://www.chop.edu/centers-programs/cell-and-gene-therapy-laboratory),"Philadelphia, PA",2021,Present,Developed novel applications using R/Shiny to automate stem cell transplant outcomes reporting and eliminate historical data entry errors,"Standardized ETL methods for complex data merges, reporting, and monitoring using continous integration","Built databases for complex studies with error detection, data validation, and custom dashboard analytics using R/Shiny",Developed R packages both for both internal and open source use and author of the [REDCapTidieR](https://cran.r-project.org/web/packages/REDCapTidieR/index.html) pacakge on CRAN,Supported development of a machine learning clinical decision support tool to predict stem cell product viability
industry_positions,TRUE,Data Analyst & Programmer,[Children's Hospital of Philadelphia - Department of Anesthesiology & Critical Care Medicine](https://www.chop.edu/centers-programs/anesthesiology-and-critical-care-medicine/),"Philadelphia, PA",2019,2021,Developed and managed ETL processes for an international research collaborative,"Created dashboards, scheduled reports, and applications to inform clinical decisions","Led data-driven projects and team infrastructure using R, Python, & MATLAB",Assisted external institutions with troubleshooting database solutions,NA
industry_positions,TRUE,Research Project Engineer,[Children's Hospital of Philadelphia - Department of Anesthesiology & Critical Care Medicine](https://www.chop.edu/centers-programs/anesthesiology-and-critical-care-medicine/),"Philadelphia, PA",2017,2019,Minimized completion time for various tasks through automated solutions,Analyzed patient waveforms and data streams from various medical devices,Supervised data quality and integrity in database systems,Developed a novel method for anterior/posterior pediatric chest geometry modeling,NA
industry_positions,TRUE,Project Engineer,[GS Medical USA](http://gsmedicalusa.com/),"King of Prussia, PA",2017,2017,Led R&D life cycle of multiple spinal fixation system projects,Served as the point of contact for surgeons and customers,Conducted mechanical testing per ASTM and ISO standards for quality control,Oversaw development of the Occiptal-Cervical-Thoracic fixation system,NA
industry_positions,TRUE,Associate Project Engineer,[GS Medical USA](http://gsmedicalusa.com/),"King of Prussia, PA",2015,2017,Supported project leadership in design and development of spinal implant systems,Consulted with international partners over production needs,Observed surgical cases demonstrating company product use,NA,NA
industry_positions,TRUE,Biomechanics Engineering Researcher,[Children's Hospital of Philadelphia - Center for Injury Research & Prevention](https://injury.research.chop.edu/),"Philadelphia, PA",2014,2015,Created a virtual surrogate model for child restraint system assessment,Coauthored and presented publications on research findings,Assessed occupant motion and injury kinematics using motion capture technology,NA,NA
publications,TRUE,A machine-learning model that incorporates CD45 surface expression predicts hematopoietic progenitor cell recovery after freeze-thaw,[Cytotherapy](https://www.sciencedirect.com/science/article/pii/S1465324923009532?via%3Dihub),N/A,2022,2023,"Arwa Z. Al-Riyami, Elena Maryamchik, Richard S. Hanna, Amir Reza Pashmineh Azar, Xingwu Zheng, Shilpa Choudhari, Colleen Finn, Nicholas Giacobbe, Rene Machietto, Robert Rieser, Farzaneh Ghasemi Tahrir, Xiaoyong Zhang, Stephan Kadauke, Yongping Wang",NA,NA,NA,NA
publications,TRUE,Automation of Hematopoietic Cell Transplant Outcomes Reporting Leads to Dramatic Reduction of Errors Reported to Real-World Data Registry,[Transplant and Cellular therapy](https://www.astctjournal.org/article/S2666-6367(22)01875-9/fulltext),N/A,2021,2023,"David S. Anderson, Richard S. Hanna, Amir Reza Pashmineh Azar, Victoria Collier, Patricia Hankins, Brandon Loudon, Timothy S. Olson, Stephan A. Grupp, Charles A. Phillips, Stephan Kadauke",NA,NA,NA,NA
publications,TRUE,Paediatric In-hospital cardiopulmonary resuscitation quality and outcomes in children with CHD during nights and weekends,[Cardiology in the Young](https://www.cambridge.org/core/journals/cardiology-in-the-young/article/abs/paediatric-inhospital-cardiopulmonary-resuscitation-quality-and-outcomes-in-children-with-chd-during-nights-and-weekends/969886F7CD44D2943F5FA68F4DF6C4AF),N/A,2022,2022,"Priscilla Yu, Ivie Esangbedo, Xuemei Zhang, Richard Hanna, Dana E. Niles, Vinay Nadkarni, Tia Raymond",NA,NA,NA,NA
publications,TRUE,Risk factors and outcomes for recurrent paediatric in-hospital cardiac arrest: Retrospective multicenter cohort study,[Resuscitation](https://www.sciencedirect.com/science/article/abs/pii/S0300957221004111#!),N/A,2021,2021,"Maria E. Frazier, Stephanie R. Brown, Amanda O'Halloran, Tia T. Raymond, Richard Hanna, Dana E. Niles, Monica Kleinman, Robert M. Sutton, Joan Roberts, Ken Tegtmeyer, Heather A.Wolfe, Vinay M. Nadkarni, Maya Dewan",NA,NA,NA,NA
